Status,Life.expectancy,Adult.Mortality,infant.deaths,Measles,BMI,under.five.deaths,Polio,Diphtheria,HIV.AIDS,Income.composition.of.resources,Schooling
Developing,65,263,62,1154,19.1,83,6,65,0.1,0.479,10.1
Developing,77.8,74,0,0,58,0,99,99,0.1,0.762,14.2
Developing,75.6,19,21,63,59.5,24,95,95,0.1,0.743,14.4
Developing,52.4,335,66,118,23.3,98,7,64,1.9,0.531,11.4
Developing,76.4,13,0,0,47.7,0,86,99,0.2,0.784,13.9
Developing,76.3,116,8,0,62.8,9,93,94,0.1,0.826,17.3
Developing,74.8,118,1,33,54.9,1,96,94,0.1,0.741,12.7
Developed,82.8,59,1,74,66.6,1,93,93,0.1,0.937,20.4
Developed,81.5,65,0,309,57.6,0,93,93,0.1,0.892,15.9
Developing,72.7,118,5,0,52.5,6,98,96,0.1,0.758,12.7
Developing,76.1,147,0,0,64.5,0,95,95,0.1,0.79,12.6
Developing,76.9,69,0,0,63.6,0,98,98,0.1,0.823,14.5
Developing,71.8,129,92,240,18.3,113,97,97,0.1,0.575,10.2
Developing,75.5,98,0,0,54.5,0,97,97,0.1,0.794,15.3
Developing,72.3,196,0,2,62.3,0,99,99,0.1,0.798,15.6
Developed,81.1,74,0,47,63.7,1,99,99,0.1,0.895,16.6
Developing,71,175,0,0,5.9,0,94,94,0.2,0.706,12.8
Developing,60,249,25,55,25.7,39,78,82,1,0.481,10.7
Developing,69.8,211,0,11,24.5,0,98,99,0.5,0.604,12.5
Developing,77,186,8,0,52.6,10,99,99,0.1,0.671,13.8
Developing,77.4,88,0,1677,55.8,0,74,82,0.1,0.747,14.2
Developing,65.7,256,2,0,37.9,2,96,95,2.2,0.698,12.6
Developing,75,142,42,214,56.1,47,98,96,0.1,0.754,15.2
Developing,77.7,78,0,4,41.2,0,99,99,0.1,0.864,14.9
Developed,74.5,137,0,0,65.7,1,91,91,0.1,0.792,15
Developing,59.9,26,38,99,19.4,61,91,91,0.6,0.399,7.7
Developing,59.6,288,21,9,18.7,31,94,94,0.7,0.406,10.6
Developing,73.3,114,0,0,31.3,0,93,93,0.2,0.646,13.5
Developing,68.7,174,10,0,19.6,12,87,89,0.2,0.558,10.9
Developing,57.3,357,45,1809,29,68,83,84,3.5,0.514,10.4
Developing,82.2,64,2,195,67,2,91,91,0.1,0.919,16.3
Developing,52.5,397,15,150,22.7,21,47,47,4.4,0.347,7.1
Developing,53.1,356,46,418,19.1,77,52,46,2.8,0.394,7.3
Developing,85,82,2,9,63.8,2,96,96,0.1,0.845,16.3
Developing,76.1,85,157,42361,32.9,183,99,99,0.1,0.734,13.5
Developing,74.8,143,10,1,57.9,12,91,91,0.1,0.724,13.6
Developing,63.5,227,1,0,24.2,2,92,91,0.8,0.498,11.1
Developing,64.7,267,7,1359,27.4,10,8,8,2.8,0.59,11.1
Developing,79.6,95,1,0,6.5,1,92,92,0.1,0.775,14.2
Developed,78,95,0,206,63.7,0,94,94,0.1,0.823,15.3
Developing,79.1,92,1,0,61.4,1,99,99,0.1,0.773,13.9
Developed,85,52,0,0,6.3,0,97,97,0.1,0.854,14.3
Developed,86,71,0,9,58.8,0,93,93,0.1,0.923,19.2
Developing,63.5,241,1,47,35,1,84,84,2.1,0.47,6.3
Developing,73.9,152,6,0,58.9,7,87,85,0.3,0.718,13.2
Developing,76.2,118,6,0,54.2,7,84,78,0.1,0.739,14
Developing,79,159,51,5432,61.1,60,93,93,0.1,0.688,13.1
Developing,73.5,178,2,0,56.1,2,92,91,0.2,0.678,13.2
Developing,58.2,32,3,1250,24.5,4,17,16,4.2,0.582,9.2
Developing,64.7,255,5,198,18.6,7,95,95,0.4,0.418,5
Developing,77.6,119,0,4,59.9,0,93,93,0.1,0.863,16.5
Developing,64.8,225,136,17745,17.6,194,75,77,0.6,0.441,8.4
Developing,69.9,188,0,0,62.7,0,99,99,0.1,0.734,15.3
Developing,81.1,76,0,2,62.1,0,97,97,0.1,0.893,17
Developing,82.4,78,2,157,62.5,3,98,98,0.1,0.894,16.3
Developing,66,229,2,27,36.3,3,79,8,2.7,0.694,12.6
Developing,61.1,262,3,71,27.3,5,96,97,1.7,0.45,8.9
Developing,74.4,129,1,431,56.2,1,91,94,0.1,0.768,13.9
Developed,81,68,2,2464,62.3,3,94,95,0.1,0.924,17.1
